Phase,Day,UTC,posix[s],t[s],s[NM],h[ft],TAS[kt],mass[kg],FPA_a[º],THR[%],SB[%],nz[g],hp[ft],VS[ft/min],CAS[kt],mach[-],GS[kt],FPA_g[º],FlightID,reserved,Temp[ºC],Press[hPa],Wn[kt],We[kt],Ws[kt],Wx[kt],reserved,reserved,reserved,Lat[º],Lon[º],x[NM],y[NM],WP_prev,WP_next,Flight_Block,reserved,reserved,phi[º],heading[º],track[º],Radius[NM],reserved,reserved,reserved,gear,config,rating,packs,anti-ice,reserved,reserved,reserved,Drag[daN],CD[-],CL[-],Thrust[daN],FF[kg/h],FOB[kg],N1[%],N2[%],Tidle[daN],Tmax[daN],N1_idle[%],N1_max[%],reserved,reserved,reserved,sdot[kt],vdot[kt/s],mdot[kg/s],hdot[ft/min],hpdot[ft/min],vcasdot[kt/s],reserved,reserved,reserved,
    "TO_TOGA_CAS",2016-07-28,04:08:07,  1469678887,      0.00,  -943.78,   2045.1,  143.3,   64891.5,   0.00,    3.254,    0.000,  1.000,   1977.1,     1.00,  136.4, 0.213357,  141.6,   0.00,EXAMPLE,,   23.83,  945.94,  -7.8,  -7.5,  -1.3,  10.7,,,,  40.494919,  -3.557869,    244.45,   2420.54,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.8,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5759.10,  0.15584,  1.7220,       0.0,  520.5,   5598.5,  0.0,  0.0,    -566.7,   16845.3,  0.0,  0.0,,,,   141.58, -1.72516,    -0.14,     0.00,     1.00, -1.64364,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:08,  1469678888,      1.00,  -943.75,   2086.6,  143.4,   64889.2,   9.89,  100.158,    0.000,  0.985,   2016.9,  2389.18,  136.4, 0.213511,  139.4,  10.02,EXAMPLE,,   23.78,  944.56,  -7.7,  -7.7,  -1.5,  10.8,,,,  40.494530,  -3.557194,    244.48,   2420.52,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.7,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5612.73,  0.15189,  1.6964,   16845.3, 8156.9,   5596.2,  0.0,  0.0,    -565.0,   16817.8,  0.0,  0.0,,,,   139.35,  0.08995,    -2.27,  2494.26,  2389.18, -0.00025,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:09,  1469678889,      2.00,  -943.71,   2128.1,  143.5,   64887.0,   9.87,  100.155,    0.000,  0.985,   2056.5,  2382.59,  136.4, 0.213664,  139.3,  10.01,EXAMPLE,,   23.72,  943.19,  -7.7,  -7.9,  -1.7,  10.9,,,,  40.494141,  -3.556519,    244.51,   2420.49,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.6,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5613.22,  0.15190,  1.6965,   16817.8, 8143.4,   5594.0,  0.0,  0.0,    -563.2,   16790.9,  0.0,  0.0,,,,   139.26,  0.09027,    -2.26,  2489.29,  2382.59, -0.00021,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:10,  1469678890,      3.00,  -943.67,   2169.4,  143.5,   64884.7,   9.84,  100.151,    0.000,  0.985,   2096.1,  2376.20,  136.4, 0.213818,  139.1,  10.00,EXAMPLE,,   23.67,  941.82,  -7.7,  -8.1,  -1.9,  11.0,,,,  40.493752,  -3.555845,    244.54,   2420.47,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.6,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5613.69,  0.15192,  1.6966,   16790.9, 8130.4,   5591.7,  0.0,  0.0,    -561.5,   16764.8,  0.0,  0.0,,,,   139.15,  0.09056,    -2.26,  2484.49,  2376.20, -0.00016,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:11,  1469678891,      4.00,  -943.63,   2210.7,  143.6,   64882.5,   9.82,  100.147,    0.000,  0.985,   2135.5,  2369.99,  136.4, 0.213971,  139.0,   9.99,EXAMPLE,,   23.62,  940.46,  -7.6,  -8.3,  -2.1,  11.1,,,,  40.493364,  -3.555171,    244.58,   2420.45,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.6,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5614.13,  0.15193,  1.6967,   16764.8, 8117.8,   5589.5,  0.0,  0.0,    -559.8,   16739.3,  0.0,  0.0,,,,   139.03,  0.09082,    -2.25,  2479.87,  2369.99, -0.00012,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:12,  1469678892,      5.00,  -943.59,   2251.9,  143.7,   64880.2,   9.79,  100.144,    0.000,  0.985,   2174.9,  2363.96,  136.4, 0.214124,  138.9,   9.98,EXAMPLE,,   23.57,  939.10,  -7.6,  -8.6,  -2.3,  11.2,,,,  40.492976,  -3.554498,    244.61,   2420.42,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.5,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5614.55,  0.15194,  1.6968,   16739.3, 8105.6,   5587.2,  0.0,  0.0,    -558.0,   16714.4,  0.0,  0.0,,,,   138.89,  0.09106,    -2.25,  2475.42,  2363.96, -0.00008,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:13,  1469678893,      6.00,  -943.55,   2293.0,  143.8,   64878.0,   9.77,  100.141,    0.000,  0.986,   2214.2,  2358.10,  136.4, 0.214277,  138.8,   9.97,EXAMPLE,,   23.53,  937.75,  -7.5,  -8.8,  -2.5,  11.3,,,,  40.492588,  -3.553826,    244.64,   2420.40,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.5,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5614.95,  0.15196,  1.6969,   16714.4, 8093.8,   5585.0,  0.0,  0.0,    -556.3,   16690.1,  0.0,  0.0,,,,   138.75,  0.09127,    -2.25,  2471.13,  2358.10, -0.00004,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:14,  1469678894,      7.00,  -943.51,   2334.0,  143.9,   64875.7,   9.75,  100.137,    0.000,  0.986,   2253.3,  2352.41,  136.4, 0.214429,  138.6,   9.97,EXAMPLE,,   23.48,  936.41,  -7.4,  -9.1,  -2.8,  11.4,,,,  40.492201,  -3.553155,    244.67,   2420.38,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.4,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5615.33,  0.15197,  1.6970,   16690.1, 8082.5,   5582.7,  0.0,  0.0,    -554.6,   16666.4,  0.0,  0.0,,,,   138.60,  0.09146,    -2.25,  2467.00,  2352.41,  0.00000,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:15,  1469678895,      8.00,  -943.48,   2375.0,  144.0,   64873.5,   9.72,  100.134,    0.000,  0.986,   2292.4,  2346.89,  136.4, 0.214582,  138.4,   9.96,EXAMPLE,,   23.44,  935.06,  -7.4,  -9.4,  -3.0,  11.5,,,,  40.491814,  -3.552484,    244.70,   2420.35,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.4,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5615.69,  0.15198,  1.6970,   16666.4, 8071.5,   5580.5,  0.0,  0.0,    -552.8,   16643.3,  0.0,  0.0,,,,   138.45,  0.09162,    -2.24,  2463.02,  2346.89,  0.00004,,,,
    "TO_TOGA_CAS",2016-07-28,04:08:16,  1469678896,      9.00,  -943.44,   2416.0,  144.1,   64871.3,   9.70,  100.131,    0.000,  0.986,   2331.4,  2341.53,  136.4, 0.214734,  138.3,   9.96,EXAMPLE,,   23.39,  933.73,  -7.3,  -9.6,  -3.3,  11.6,,,,  40.491428,  -3.551814,    244.73,   2420.33,"LEMD-14L","!BRA124-22",climb,,,   0.00,  122.4,  127.1,   0.00,,,,  "UP","CONF2","TOGA","OFF","OFF",,,,   5616.03,  0.15199,  1.6971,   16643.3, 8060.9,   5578.3,  0.0,  0.0,    -551.1,   16620.8,  0.0,  0.0,,,,   138.28,  0.09175,    -2.24,  2459.19,  2341.53,  0.00008,,,,
